 t        y1(t)        y2(t)
19.8     1.003111     3.842822
19.9     1.146332     3.682421
20.0     1.314123     3.573160
20.1     1.504575     3.520054
20.2     1.712690     3.525712
20.3     1.930977     3.589918
20.4     2.150772     3.709819
20.5     2.363573     3.880475
20.6     2.561937     4.095466
20.7     2.739854     4.347405
20.8     2.892756     4.628301
20.9     3.017328     4.929810
21.0     3.111259     5.243388
21.1     3.172982     5.560386
21.2     3.201443     5.872086
21.3     3.195898     6.169703
21.4     3.155723     6.444346
21.5     3.080241     6.686939
21.6     2.968536     6.888089
21.7     2.819250     7.037907
21.8     2.630351     7.125746
21.9     2.398909     7.139895
22.0     2.121127     7.067363
22.1     1.793770     6.894497
22.2     1.421643     6.611565
22.3     1.043979     6.230671
22.4     0.763066     5.813235
22.5     0.643606     5.426428
22.6     0.631841     5.078509
22.7     0.669610     4.759338
22.8     0.733654     4.466239
22.9     0.818041     4.201875
23.0     0.922977     3.971392
23.1     1.050499     3.781185
23.2     1.202361     3.638018
23.3     1.378469     3.547970
23.4     1.575829     3.515300
23.5     1.788451     3.541641
23.6     2.008269     3.625807
23.7     2.226541     3.764142
23.8     2.435060     3.951122
23.9     2.626867     4.179938
24.0     2.796470     4.442955
24.1     2.939766     4.732036
24.2     3.053822     5.038753
24.3     3.136614     5.354518
24.4     3.186782     5.670654
24.5     3.203403     5.978423
24.6     3.185794     6.269010
24.7     3.133333     6.533469
24.8     3.045281     6.762630
24.9     2.920592     6.946953
25.0     2.757699     7.076313
25.1     2.554278     7.139728
25.2     2.307058     7.125047
25.3     2.012131     7.018883
25.4     1.667620     6.808029
25.5     1.285957     6.487285
25.6     0.928428     6.084124
25.7     0.704038     5.672705
25.8     0.631061     5.300723
25.9     0.641199     4.963702
26.0     0.689573     4.653609
26.1     0.760967     4.370111
26.2     0.852380     4.116951
26.3     0.964976     3.899814
26.4     1.100892     3.725330
26.5     1.261395     3.600154
26.6     1.445452     3.529849
26.7     1.648976     3.517816
26.8     1.865102     3.564691
26.9     2.085367     3.668363
27.0     2.301101     3.824449
27.1     2.504482     4.026913
27.2     2.689059     4.268613
27.3     2.849846     4.541707
27.4     2.983178     4.837937
27.5     3.086471     5.148807
27.6     3.157960     5.465693
27.7     3.196462     5.779895
27.8     3.201160     6.082652
27.9     3.171412     6.365111
28.0     3.106576     6.618261
28.1     3.005827     6.832822
28.2     2.867964     6.999076
28.3     2.691181     7.106633
28.4     2.472835     7.144135
28.5     2.209341     7.098972
28.6     1.896950     6.957499
28.7     1.536484     6.707798
28.8     1.152481     6.352286
28.9     0.830365     5.936909
29.0     0.664484     5.537590
29.1     0.628321     5.179259
29.2     0.654987     4.852126
29.3     0.712266     4.551112
29.4     0.790705     4.277691
29.5     0.889313     4.036440
29.6     1.009846     3.833471
29.7     1.154325     3.675538
29.8     1.323349     3.569046
29.9     1.514852     3.518907
30.0     1.723684     3.527590
30.1     1.942262     3.594736
30.2     2.161900     3.717369
30.3     2.374131     3.890460
30.4     2.571582     4.107528
30.5     2.748319     4.361146
30.6     2.899842     4.643302
30.7     3.022895     4.945637
30.8     3.115210     5.259601
30.9     3.175253     5.576539
31.0     3.201990     5.887732
31.1     3.194688     6.184391
31.2     3.152724     6.457616
31.3     3.075413     6.698320
31.4     2.961823     6.897089
31.5     2.810566     7.044001
31.6     2.619570     7.128364
31.7     2.385854     7.138403
31.8     2.105594     7.061066
31.9     1.775693     6.882728
32.0     1.401845     6.594165
32.1     1.026208     6.209463
32.2     0.753134     5.792393
32.3     0.641046     5.407782
32.4     0.632887     5.061534
32.5     0.672344     4.743699
32.6     0.737491     4.451977
32.7     0.822898     4.189208
32.8     0.928935     3.960624
32.9     1.057670     3.772661
33.0     1.210797     3.632075
33.1     1.388092     3.544880
33.2     1.586401     3.515214
33.3     1.799599     3.544566
33.4     2.019550     3.631611
33.5     2.237513     3.772583
33.6     2.445334     3.961878
33.7     2.636126     4.192635
33.8     2.804471     4.457186
33.9     2.946333     4.747376
34.0     3.058831     5.054765
34.1     3.139983     5.370760
34.2     3.188454     5.686681
34.3     3.203338     5.993786
34.4     3.183961     6.283254
34.5     3.129699     6.546132
34.6     3.039800     6.773234
34.7     2.913200     6.954996
34.8     2.748297     7.081257
34.9     2.542722     7.140982
35.0     2.293158     7.121953
35.1     1.995695     7.010735
35.2     1.648753     6.794247
35.3     1.266221     6.468180
35.4     0.912907     6.062574
35.5     0.697117     5.652629
35.6     0.630118     5.282733
35.7     0.642961     4.947209
35.8     0.692723     4.638436
35.9     0.765158     4.356377
36.0     0.857610     4.104911
36.1     0.971348     3.889791
36.2     1.108506     3.717673
36.3     1.270263     3.595185
36.4     1.455443     3.527801
36.5     1.659797     3.518792
36.6     1.876348     3.568647
36.7     2.096588     3.675123
36.8     2.311869     3.833740
36.9     2.514432     4.038394
37.0     2.697901     4.281895
37.1     2.857362     4.556376
37.2     2.989211     4.853562
37.3     3.090913     5.164951
37.4     3.160739     5.481911
37.5     3.197529     5.795741
37.6     3.200479     6.097675
37.7     3.168952     6.378854
37.8     3.102301     6.630258
37.9     2.999686     6.842587
38.0     2.859881     7.006097
38.1     2.681044     7.110355
38.2     2.460481     7.143943
38.3     2.194569     7.094188
38.4     1.879614     6.947424
38.5     1.516992     6.692022
38.6     1.133456     6.331834
38.7     0.817744     5.915570
38.8     0.660144     5.518312
38.9     0.628583     5.161843
39.0     0.657315     4.836095
39.1     0.715795     4.536420
39.2     0.795252     4.264518
39.3     0.894929     4.025068
39.4     1.016645     3.824238
39.5     1.162384     3.668790
39.6     1.332634     3.565080
39.7     1.525174     3.517915
39.8     1.734704     3.529622
39.9     1.953551     3.599699
40.0     2.173008     3.725051
