 t        y1(t)        y2(t)
22.7     2.192365     5.730609
22.8     2.101009     5.715290
22.9     1.999985     5.648506
23.0     1.895976     5.533316
23.1     1.796938     5.377164
23.2     1.711486     5.191785
23.3     1.647739     4.992245
23.4     1.611886     4.795122
23.5     1.607043     4.616371
23.6     1.632906     4.469538
23.7     1.686174     4.364693
23.8     1.761357     4.307981
23.9     1.851632     4.301608
24.0     1.949629     4.344120
24.1     2.048104     4.430905
24.2     2.140455     4.554836
24.3     2.221068     4.706939
24.4     2.285488     4.877028
24.5     2.330453     5.054262
24.6     2.353857     5.227636
24.7     2.354677     5.386410
24.8     2.332914     5.520525
24.9     2.289562     5.621027
25.0     2.226639     5.680528
25.1     2.147256     5.693747
25.2     2.055737     5.658120
25.3     1.957718     5.574452
25.4     1.860112     5.447468
25.5     1.770772     5.286023
25.6     1.697706     5.102665
25.7     1.647875     4.912387
25.8     1.625953     4.730777
25.9     1.633566     4.572137
26.0     1.669257     4.448068
26.1     1.729036     4.366693
26.2     1.807151     4.332381
26.3     1.896868     4.345835
26.4     1.991174     4.404440
26.5     2.083363     4.502786
26.6     2.167472     4.633298
26.7     2.238540     4.786858
26.8     2.292732     4.953390
26.9     2.327343     5.122371
27.0     2.340762     5.283288
27.1     2.332405     5.426053
27.2     2.302678     5.541416
27.3     2.252967     5.621393
27.4     2.185684     5.659747
27.5     2.104344     5.652529
27.6     2.013661     5.598675
27.7     1.919578     5.500575
27.8     1.829111     5.364454
27.9     1.749841     5.200304
28.0     1.689013     5.021147
28.1     1.652371     4.841604
28.2     1.643173     4.676120
28.3     1.661756     4.537352
28.4     1.705731     4.435076
28.5     1.770589     4.375633
28.6     1.850432     4.361795
28.7     1.938682     4.392944
28.8     2.028714     4.465466
28.9     2.114356     4.573295
29.0     2.190245     4.708510
29.1     2.252029     4.861925
29.2     2.296438     5.023621
29.3     2.321282     5.183423
29.4     2.325406     5.331334
29.5     2.308644     5.457938
29.6     2.271792     5.554814
29.7     2.216622     5.614973
29.8     2.145932     5.633344
29.9     2.063625     5.607318
30.0     1.974759     5.537299
30.1     1.885500     5.427164
30.2     1.802828     5.284446
30.3     1.733892     5.119993
30.4     1.685049     4.946989
30.5     1.660819     4.779438
30.6     1.663163     4.630535
30.7     1.691318     4.511325
30.8     1.742152     4.429871
30.9     1.810781     4.390881
31.0     1.891259     4.395696
31.1     1.977227     4.442537
31.2     2.062468     4.526942
31.3     2.141336     4.642312
31.4     2.209037     4.780476
31.5     2.261783     4.932244
31.6     2.296826     5.087902
31.7     2.312454     5.237659
31.8     2.307941     5.372061
31.9     2.283517     5.482390
32.0     2.240361     5.561080
32.1     2.180622     5.602161
32.2     2.107473     5.601749
32.3     2.025176     5.558571
32.4     1.939079     5.474450
32.5     1.855467     5.354628
32.6     1.781142     5.207733
32.7     1.722677     5.045187
32.8     1.685459     4.880056
32.9     1.672812     4.725536
33.0     1.685532     4.593506
33.1     1.721936     4.493447
33.2     1.778305     4.431815
33.3     1.849507     4.411827
33.4     1.929634     4.433542
33.5     2.012594     4.494173
33.6     2.092595     4.588545
33.7     2.164503     4.709632
33.8     2.224067     4.849100
33.9     2.268020     4.997818
34.0     2.294105     5.146323
34.1     2.301051     5.285243
34.2     2.288542     5.405698
34.3     2.257189     5.499701
34.4     2.208542     5.560569
34.5     2.145118     5.583377
34.6     2.070452     5.565444
34.7     1.989125     5.506815
34.8     1.906702     5.410662
34.9     1.829476     5.283446
35.0     1.763931     5.134661
35.1     1.715944     4.976032
35.2     1.689885     4.820264
35.3     1.687946     4.679599
35.4     1.709893     4.564573
35.5     1.753284     4.483153
35.6     1.813957     4.440301
35.7     1.886636     4.437872
35.8     1.965525     4.474789
35.9     2.044838     4.547389
36.0     2.119216     4.649908
36.1     2.184026     4.774994
36.2     2.235527     4.914226
36.3     2.270945     5.058589
36.4     2.288478     5.198916
36.5     2.287274     5.326292
36.6     2.267403     5.432448
36.7     2.229850     5.510156
36.8     2.176526     5.553651
36.9     2.110302     5.559076
37.0     2.035050     5.524957
37.1     1.955624     5.452627
37.2     1.877720     5.346515
37.3     1.807519     5.214129
37.4     1.751059     5.065594
37.5     1.713423     4.912685
37.6     1.697962     4.767542
37.7     1.705815     4.641351
37.8     1.735862     4.543298
37.9     1.785042     4.479904
38.0     1.848872     4.454740
38.1     1.922028     4.468430
38.2     1.998884     4.518889
38.3     2.073992     4.601710
38.4     2.142432     4.710646
38.5     2.200051     4.838111
38.6     2.243596     4.975664
38.7     2.270752     5.114463
38.8     2.280148     5.245683
38.9     2.271328     5.360905
39.0     2.244736     5.452504
39.1     2.201716     5.514048
39.2     2.144530     5.540716
39.3     2.076390     5.529744
39.4     2.001469     5.480856
39.5     1.924835     5.396622
39.6     1.852219     5.282612
39.7     1.789569     5.147195
39.8     1.742360     5.000888
39.9     1.714825     4.855290
40.0     1.709317     4.721812
40.1     1.726021     4.610516
40.2     1.763062     4.529252
40.3     1.816893     4.483170
40.4     1.882818     4.474554
40.5     1.955541     4.502920
40.6     2.029660     4.565299
40.7     2.100086     4.656656
40.8     2.162333     4.770363
40.9     2.212717     4.898678
41.0     2.248442     5.033208
41.1     2.267633     5.165336
41.2     2.269320     5.286621
41.3     2.253430     5.389180
41.4     2.220765     5.466069
41.5     2.173018     5.511687
41.6     2.112792     5.522186
41.7     2.043614     5.495902
41.8     1.969920     5.433740
41.9     1.896915     5.339435
42.0     1.830266     5.219559
42.1     1.775569     5.083143
42.2     1.737646     4.940871
42.3     1.719847     4.803960
42.4     1.723576     4.682973
42.5     1.748172     4.586805
42.6     1.791131     4.522005
42.7     1.848536     4.492426
42.8     1.915573     4.499173
42.9     1.987042     4.540769
43.0     2.057805     4.613482
43.1     2.123144     4.711754
43.2     2.179007     4.828664
43.3     2.222157     4.956392
43.4     2.250235     5.086651
43.5     2.261778     5.211101
43.6     2.256205     5.321728
43.7     2.233803     5.411224
43.8     2.195726     5.473365
43.9     2.144004     5.503410
44.0     2.081561     5.498510
44.1     2.012216     5.458102
44.2     1.940609     5.384232
44.3     1.872006     5.281710
44.4     1.811900     5.157952
44.5     1.765431     5.022445
44.6     1.736696     4.885827
44.7     1.728165     4.758771
44.8     1.740361     4.650893
44.9     1.771884     4.569911
45.0     1.819720     4.521115
45.1     1.879686     4.507145
45.2     1.946931     4.528031
45.3     2.016410     4.581415
45.4     2.083278     4.662911
45.5     2.143198     4.766536
45.6     2.192543     4.885161
45.7     2.228505     5.010954
45.8     2.249143     5.135795
45.9     2.253384     5.251664
46.0     2.241018     5.351019
46.1     2.212682     5.427167
46.2     2.169867     5.474640
46.3     2.114930     5.489589
46.4     2.051096     5.470175
46.5     1.982435     5.416924
