 t        y1(t)        y2(t)
22.7     2.007134     4.845795
22.8     2.031809     4.880236
22.9     2.053392     4.923230
23.0     2.070339     4.971287
23.1     2.081500     5.020639
23.2     2.086178     5.067504
23.3     2.084154     5.108345
23.4     2.075689     5.140118
23.5     2.061502     5.160483
23.6     2.042730     5.167978
23.7     2.020852     5.162145
23.8     1.997598     5.143580
23.9     1.974820     5.113905
24.0     1.954349     5.075645
24.1     1.937832     5.032019
24.2     1.926581     4.986659
24.3     1.921448     4.943280
24.4     1.922743     4.905352
24.5     1.930216     4.875802
24.6     1.943102     4.856781
24.7     1.960205     4.849522
24.8     1.980030     4.854277
24.9     2.000927     4.870350
25.0     2.021228     4.896198
25.1     2.039382     4.929578
25.2     2.054061     4.967750
25.3     2.064240     5.007684
25.4     2.069256     5.046285
25.5     2.068836     5.080615
25.6     2.063105     5.108098
25.7     2.052578     5.126702
25.8     2.038115     5.135090
25.9     2.020872     5.132726
26.0     2.002221     5.119923
26.1     1.983647     5.097827
26.2     1.966633     5.068331
26.3     1.952538     5.033917
26.4     1.942473     4.997443
26.5     1.937200     4.961891
26.6     1.937065     4.930107
26.7     1.941972     4.904559
26.8     1.951404     4.887139
26.9     1.964484     4.879028
27.0     1.980065     4.880630
27.1     1.996842     4.891570
27.2     2.013466     4.910763
27.3     2.028647     4.936521
27.4     2.041256     4.966701
27.5     2.050391     4.998885
27.6     2.055436     5.030554
27.7     2.056093     5.059275
27.8     2.052390     5.082880
27.9     2.044682     5.099614
28.0     2.033613     5.108269
28.1     2.020080     5.108275
28.2     2.005168     5.099745
28.3     1.990064     5.083469
28.4     1.975973     5.060856
28.5     1.964012     5.033812
28.6     1.955121     5.004582
28.7     1.949972     4.975553
28.8     1.948919     4.949052
28.9     1.951965     4.927145
29.0     1.958774     4.911476
29.1     1.968708     4.903142
29.2     1.980893     4.902624
29.3     1.994304     4.909772
29.4     2.007853     4.923843
29.5     2.020480     4.943581
29.6     2.031229     4.967327
29.7     2.039318     4.993157
29.8     2.044187     5.019033
29.9     2.045530     5.042951
30.0     2.043310     5.063093
30.1     2.037758     5.077952
30.2     2.029352     5.086450
30.3     2.018781     5.088013
30.4     2.006900     5.082617
30.5     1.994657     5.070789
30.6     1.983028     5.053565
30.7     1.972933     5.032403
30.8     1.965160     5.009063
30.9     1.960300     4.985450
31.0     1.958695     4.963458
31.1     1.960410     4.944809
31.2     1.965239     4.930916
31.3     1.972723     4.922774
31.4     1.982202     4.920893
31.5     1.992874     4.925276
31.6     2.003869     4.935434
31.7     2.014317     4.950442
31.8     2.023419     4.969027
31.9     2.030503     4.989669
32.0     2.035065     5.010725
32.1     2.036809     5.030554
32.2     2.035653     5.047636
32.3     2.031737     5.060687
32.4     2.025410     5.068753
32.5     2.017197     5.071278
32.6     2.007768     5.068149
32.7     1.997878     5.059698
32.8     1.988316     5.046678
32.9     1.979837     5.030200
33.0     1.973104     5.011633
33.1     1.968627     4.992498
33.2     1.966727     4.974330
33.3     1.967508     4.958557
33.4     1.970854     4.946383
33.5     1.976440     4.938695
33.6     1.983771     4.936000
33.7     1.992225     4.938399
33.8     2.001107     4.945589
33.9     2.009711     4.956902
34.0     2.017371     4.971366
34.1     2.023514     4.987789
34.2     2.027697     5.004853
34.3     2.029637     5.021218
34.4     2.029227     5.035623
34.5     2.026542     5.046977
34.6     2.021829     5.054446
34.7     2.015486     5.057506
34.8     2.008034     5.055986
34.9     2.000073     5.050080
35.0     1.992240     5.040327
35.1     1.985153     5.027562
35.2     1.979365     5.012854
35.3     1.975317     4.997406
35.4     1.973302     4.982462
35.5     1.973443     4.969200
35.6     1.975688     4.958637
35.7     1.979812     4.951554
35.8     1.985447     4.948436
35.9     1.992111     4.949442
36.0     1.999256     4.954402
36.1     2.006308     4.962844
36.2     2.012719     4.974032
36.3     2.018001     4.987038
36.4     2.021769     5.000809
36.5     2.023762     5.014257
36.6     2.023860     5.026340
36.7     2.022090     5.036137
36.8     2.018623     5.042922
36.9     2.013756     5.046213
37.0     2.007894     5.045809
37.1     2.001510     5.041804
37.2     1.995117     5.034574
37.3     1.989221     5.024746
37.4     1.984280     5.013144
37.5     1.980673     5.000722
37.6     1.978663     4.988481
37.7     1.978382     4.977389
